stable_id	Mass	pI	Charge	NumResidues	CAI
SPAC23A1.14c	43284.40	6.4536	-0.5	398	0.503
SPAC186.06	19627.49	6.2248	-0.5	184	0.391
SPAC8C9.16c	21454.25	6.3466	-0.5	188	0.457
SPBC660.06	26251.89	6.4101	-0.5	273	0.461
SPAC521.03	28148.50	6.2993	-0.5	259	0.549
SPAC1F7.05	91998.96	6.4716	-0.5	811	0.628
SPAC630.14c	65561.04	6.4546	-0.5	598	0.430
SPAC6F6.11c	33998.34	6.3599	-0.5	309	0.339
SPCC16A11.13	30936.96	6.4391	-0.5	264	0.390
SPAC630.09c	31809.21	6.4264	-0.5	277	0.427
SPAC23H4.14	103696.20	6.4708	-0.5	905	0.412
SPCC1450.10c	60446.48	6.4369	-0.5	538	0.410
SPAC12G12.06c	39525.38	6.2929	-0.5	363	0.402
SPBC776.14	70833.25	6.4616	-0.5	632	0.400
SPBC776.03	40037.38	6.3821	-0.5	376	0.621
SPBC31F10.14c	186700.91	6.4924	-0.5	1630	0.414
SPBC1348.09	26452.32	6.3682	-0.5	236	0.384
SPAC977.08	26452.32	6.3682	-0.5	236	0.384
SPAC144.03	47876.73	6.4297	-0.5	434	0.633
SPBC409.21	22135.58	6.0449	-0.5	192	0.441
SPBC26H8.14c	7492.57	5.7935	-0.5	70	0.475
SPCC4B3.16	29454.84	6.2993	-0.5	252	0.425
SPBC23G7.10c	43683.53	6.4537	-0.5	395	0.353
SPBC17D11.02c	75656.52	6.4427	-0.5	677	0.357
SPBC215.08c	127479.77	6.4891	-0.5	1160	0.630
SPBC11C11.10	45166.35	6.4337	-0.5	407	0.359
SPAC9.06c	22688.25	6.2506	-0.5	200	0.432
SPAC23A1.06c	56609.35	6.4682	-0.5	504	0.419
SPAC29A4.23	18752.57	6.2580	-0.5	162	0.416
SPAC3A11.13	12813.51	5.9439	-0.5	114	0.442
SPAC4H3.01	44768.62	6.3765	-0.5	392	0.408
SPAC4A8.15c	13411.41	5.8180	-0.5	127	0.620
SPBC18A7.02c	52862.43	6.3920	-0.5	457	0.390
SPAC17D4.01	34587.90	6.4267	-0.5	308	0.410
SPBC3B9.22c	8350.52	6.2333	-0.5	72	0.336
SPAC3C7.08c	116700.52	6.4869	-0.5	1057	0.482
SPAC4H3.11c	89188.30	6.4865	-0.5	783	0.409
SPBP19A11.07c	79558.38	6.4567	-0.5	688	0.429
SPAC1039.01	61726.79	6.3528	-0.5	567	0.522
SPAC688.04c	28113.22	6.4037	-0.5	242	0.443
SPAC222.19	12693.49	6.2355	-0.5	117	0.442
SPAC1142.04	81128.34	6.4689	-0.5	707	0.414
SPAC1B3.06c	31773.01	6.4010	-0.5	278	0.433
SPAC1F3.07c	44621.29	6.4046	-0.5	403	0.396
SPCC550.09	60201.78	6.4511	-0.5	535	0.382
SPCC126.06	36780.86	6.3299	-0.5	328	0.441
SPAC1B3.20	8551.28	6.2424	-0.5	78	0.377
SPCC70.04c	27870.06	6.3580	-0.5	244	0.410
SPAC1B3.02c	11803.31	6.2341	-0.5	107	0.374
SPBC19G7.18c	28529.39	6.2993	-0.5	252	0.370
SPBC336.16	8223.29	5.4513	-1.0	71	0.467
SPBC19C7.07c	32807.66	6.3198	-1.0	284	0.399
SPAC2F3.17c	8336.50	4.9634	-1.0	75	0.523
SPAC513.02	25174.62	6.3721	-1.0	216	0.456
SPCC794.02	30708.60	6.2469	-1.0	269	0.437
SPBC119.13c	57738.80	6.2460	-1.0	518	0.378
SPAC513.07	37461.84	6.2673	-1.0	336	0.538
SPAPYUG7.04c	13174.73	6.2176	-1.0	113	0.412
SPCC31H12.07	84845.16	6.4103	-1.0	759	0.478
SPAC607.06c	68570.84	6.4242	-1.0	612	0.392
SPAC23H4.10c	55565.91	6.3553	-1.0	518	0.454
SPAC212.06c	15971.85	5.7142	-1.0	147	0.290
SPAC31G5.08	28515.46	6.2614	-1.0	251	0.337
SPCC285.12	12474.21	5.1746	-1.0	113	0.414
SPAC15E1.06	20522.89	6.1096	-1.0	187	0.388
SPBC1E8.05	31092.27	5.0803	-1.0	317	0.677
SPAC1565.02c	43108.58	6.3733	-1.0	374	0.405
SPAPB2B4.04c	142235.35	6.4573	-1.0	1292	0.454
SPAC23H3.10	57684.95	6.3644	-1.0	503	0.443
SPCC757.02c	46653.16	6.3294	-1.0	405	0.374
SPAC6F12.02	62559.88	6.3601	-1.0	567	0.402
SPBC1773.04	37806.04	6.3240	-1.0	336	0.447
SPBC15C4.01c	32822.69	6.1540	-1.0	282	0.424
SPCC16A11.05c	16971.48	6.2391	-1.0	142	0.509
SPAC22H10.08	56534.67	6.3887	-1.0	492	0.411
SPCC4B3.15	102367.36	6.4411	-1.0	920	0.391
SPAC14C4.15c	98342.14	6.4539	-1.0	853	0.399
SPAC750.01	37359.77	6.3255	-1.0	325	0.420
SPAC29B12.13	15559.88	5.7384	-1.0	137	0.432
SPCC24B10.16c	13497.51	5.0000	-1.0	124	0.411
SPAC26F1.02	23237.21	5.9918	-1.0	197	0.344
SPBC32F12.05c	25633.12	6.1753	-1.0	217	0.351
SPCC1919.15	80722.79	6.4420	-1.0	692	0.430
SPAC13G6.04	9987.36	5.7065	-1.0	87	0.454
SPBC409.03	9748.04	6.0941	-1.0	85	0.401
SPBC14C8.12	14300.34	5.7529	-1.0	125	0.422
SPBC36B7.06c	17239.47	6.2404	-1.0	151	0.400
SPBC26H8.01	35274.50	6.2585	-1.0	328	0.665
SPAC19G12.17	12203.80	6.2208	-1.0	104	0.471
SPAC821.10c	15912.59	6.2259	-1.0	154	0.729
SPAC1093.02	27014.41	6.1744	-1.0	231	0.481
SPAC8E11.01c	58053.91	6.4040	-1.0	508	0.437
SPAC144.12	29329.12	6.1411	-1.0	274	0.544
SPAC19A8.14	21428.64	5.7999	-1.0	205	0.342
SPBC14C8.04	31834.36	6.2590	-1.0	289	0.545
SPAC5H10.08c	31876.72	6.2545	-1.0	283	0.420
SPCC126.10	27991.14	6.1261	-1.0	246	0.415
SPBC354.15	46319.70	6.2806	-1.0	412	0.395
SPBC4F6.18c	20618.59	6.1203	-1.0	180	0.656
SPCC794.10	56740.25	6.3280	-1.0	499	0.416
SPBC1604.10	15800.05	6.1076	-1.0	138	0.447
SPCC1919.03c	32969.64	6.3127	-1.0	298	0.476
SPAC23C11.01	49169.64	6.3062	-1.0	441	0.365
SPAC20G4.06c	15619.88	5.3398	-1.0	137	0.710
SPBC21H7.06c	22035.25	5.7086	-1.0	200	0.418
SPBC1773.11c	44742.99	6.1657	-1.0	396	0.402
SPBC146.03c	150652.63	6.4576	-1.0	1324	0.405
SPBC557.02c	23534.67	5.9072	-1.0	203	0.381
SPBC146.10	22138.49	6.2396	-1.0	189	0.470
SPBC3E7.02c	15967.92	5.7991	-1.0	143	0.611
SPAC977.14c	39914.87	6.3237	-1.0	351	0.425
SPAC23H3.03c	47028.53	6.3439	-1.0	409	0.428
SPAC1F12.09	63961.71	6.3866	-1.0	554	0.361
SPBC20F10.06	23583.07	5.8727	-1.0	203	0.368
SPAC13C5.01c	27925.47	6.1384	-1.0	248	0.387
SPCC417.08	115801.76	6.4634	-1.0	1047	0.839
SPAC5H10.01	33755.92	6.1480	-1.0	301	0.486
SPCC777.03c	44217.48	6.3175	-1.0	396	0.385
SPBC3E7.14	8660.11	4.9019	-1.0	78	0.467
SPAC2F3.08	61744.55	6.3185	-1.0	553	0.358
SPAC630.11	14095.72	5.6128	-1.0	128	0.411
SPAC3F10.04	56152.77	6.3664	-1.0	498	0.450
SPAC20G8.07c	24671.38	6.2980	-1.0	219	0.571
SPAC1039.10	13344.45	5.1630	-1.0	126	0.534
SPAC1687.11	90905.93	6.3948	-1.0	802	0.482
SPCC23B6.01c	54648.04	6.4063	-1.0	479	0.405
SPAC16E8.18	12425.21	6.0663	-1.0	107	0.392
SPBC18H10.18c	27092.19	6.2421	-1.0	242	0.360
SPAC2C4.10c	19686.38	6.1384	-1.0	166	0.399
SPAC1A6.10	54299.40	6.3369	-1.0	485	0.439
SPCC132.02	37915.83	6.3195	-1.0	332	0.393
SPBC1734.14c	13446.32	6.1089	-1.0	113	0.402
SPAC16C9.02c	33847.76	6.3076	-1.0	307	0.448
SPBC4C3.07	33250.97	6.3446	-1.0	302	0.483
SPAC20H4.11c	22407.94	6.1277	-1.0	200	0.496
SPBC16G5.06	24065.77	5.6421	-1.0	230	0.346
SPBC646.06c	48066.07	6.2307	-1.0	433	0.396
SPBC11C11.05	31132.36	5.7346	-1.0	284	0.398
SPBC1773.06c	37320.82	6.3469	-1.0	346	0.428
SPCC14G10.03c	14660.75	6.1091	-1.0	129	0.521
SPAC23H4.01c	106809.65	6.4603	-1.0	945	0.431
SPBC24C6.09c	92510.38	6.4549	-1.0	825	0.571
SPAC29B12.04	31403.26	6.1601	-1.0	296	0.703
SPBC3B9.10	24742.96	6.1578	-1.0	214	0.423
SPBC31F10.06c	21279.81	6.1127	-1.0	190	0.548
SPCC622.14	35518.18	6.1505	-1.0	321	0.509
SPBC27B12.13	37552.59	6.2479	-1.0	344	0.543
SPBC1711.15c	3788.71	4.6361	-1.0	32	0.391
SPAC6F6.15	22985.09	5.4356	-1.0	211	0.515
SPAC630.13c	154813.30	6.4210	-1.5	1339	0.419
SPCC1672.04c	12272.52	5.6498	-1.5	112	0.400
SPBC1A4.04	27481.92	5.7016	-1.5	249	0.437
SPAC26A3.03c	26632.47	5.8415	-1.5	235	0.351
SPCC1906.03	43944.50	5.8445	-1.5	393	0.389
SPAC9E9.07c	22754.81	5.4184	-1.5	200	0.409
SPAC513.01c	93230.90	6.3695	-1.5	842	0.826
SPBPB8B6.03	60505.87	6.1978	-1.5	547	0.373
SPAC23C11.12	9074.12	5.1566	-1.5	80	0.372
SPBC1271.14	47287.38	6.0705	-1.5	445	0.469
SPAC1783.06c	15154.22	5.2572	-1.5	132	0.374
SPAP8A3.04c	7503.18	5.0915	-1.5	68	0.732
SPAC30.02c	32495.08	6.0494	-1.5	281	0.428
SPBC27B12.08	217691.07	6.4525	-1.5	1919	0.407
SPCC24B10.12	20050.07	5.7737	-1.5	174	0.401
SPAC1851.03	26677.28	6.2335	-1.5	231	0.439
SPBC25H2.07	15677.62	5.4159	-1.5	138	0.567
SPCC1739.04c	30653.84	6.1666	-1.5	274	0.425
SPAC1805.06c	36120.78	6.1715	-1.5	329	0.516
SPAC16.05c	48225.55	6.3733	-1.5	442	0.517
SPAC25G10.03	36188.99	5.8644	-1.5	330	0.545
SPCC70.08c	29688.84	6.0508	-1.5	260	0.451
SPBC1677.02	10530.22	5.0035	-1.5	90	0.474
SPBC8D2.11	14066.73	5.6796	-1.5	122	0.403
SPBC660.17c	20581.04	5.6776	-1.5	172	0.431
SPCC70.12c	8972.99	5.9437	-1.5	80	0.459
SPCC1259.09c	50883.83	6.3080	-1.5	456	0.447
SPBC1604.05	60884.17	6.3846	-1.5	550	0.754
SPAC22F8.08	101903.90	6.3581	-1.5	926	0.453
SPCP31B10.07	93230.90	6.3695	-1.5	842	0.821
SPAC664.09	68722.33	6.3711	-1.5	630	0.422
SPAPYUG7.06	21952.02	6.0005	-1.5	201	0.372
SPCC11E10.07c	37773.36	6.2866	-1.5	341	0.443
SPAC13C5.03	62918.19	6.3289	-1.5	543	0.411
SPBC119.10	63240.91	6.3844	-1.5	557	0.693
SPBC25B2.06c	31775.55	6.0528	-1.5	284	0.402
SPAC139.01c	90153.11	6.3557	-1.5	802	0.426
SPAC19G12.15c	93877.59	6.3959	-1.5	817	0.466
SPBC660.12c	44535.45	6.2461	-1.5	392	0.439
SPBC1711.09c	30694.91	6.2761	-1.5	276	0.398
SPBC1198.14c	38525.12	6.2443	-1.5	347	0.476
SPBC2D10.16	12820.62	5.7282	-1.5	110	0.409
SPBC18E5.06	9616.75	5.0502	-1.5	87	0.708
SPCC4F11.02	38676.15	6.2896	-1.5	347	0.447
SPAC23H3.15c	34692.18	6.2462	-1.5	325	0.573
SPCC965.09	30689.09	6.1669	-1.5	272	0.386
SPBC17F3.02	71120.29	6.3565	-1.5	652	0.406
SPBC1198.05	22394.69	5.7962	-1.5	202	0.481
SPAC5H10.03	24716.48	6.0296	-1.5	219	0.620
SPAC23H4.06	40018.13	6.2874	-1.5	359	0.780
SPBC19F5.04	56812.57	6.3520	-1.5	519	0.525
SPBC106.05c	10711.13	5.6584	-1.5	92	0.532
SPBC11B10.02c	42733.71	5.8896	-1.5	384	0.503
SPCC1906.02c	65857.52	6.3110	-1.5	581	0.417
SPCC16C4.12	20521.07	5.7219	-1.5	180	0.359
SPCC970.09	122974.95	6.4252	-1.5	1073	0.397
SPBC15C4.06c	62310.83	6.3464	-1.5	556	0.399
SPAC29A4.15	51642.74	6.2723	-1.5	450	0.610
SPAC644.04	35444.20	6.2593	-1.5	303	0.411
SPCC895.06	84948.88	6.3801	-1.5	760	0.425
SPAC30D11.05	18642.57	5.2287	-1.5	165	0.398
SPAC343.11c	180351.68	6.4475	-1.5	1588	0.433
SPAC922.06	27749.72	6.0203	-1.5	258	0.455
SPAC688.08	131245.62	6.4260	-1.5	1134	0.404
SPBC30D10.14	27414.09	6.0229	-1.5	249	0.561
SPCC1840.07c	37435.58	6.3215	-1.5	332	0.407
SPAC6C3.09	37948.16	6.0564	-1.5	335	0.425
SPBC19C2.07	39570.01	6.3233	-1.5	358	0.828
SPBC21C3.08c	48247.48	6.2970	-1.5	438	0.765
SPAC11D3.19	8413.78	4.6646	-1.5	77	0.351
SPCC1450.08c	36096.84	6.0394	-1.5	319	0.363
SPBC1709.04c	18905.54	5.6947	-1.5	173	0.398
SPAC11D3.09	42879.26	4.8277	-10.0	394	0.551
SPAC8F11.10c	44871.65	5.1005	-10.0	401	0.599
SPBC19F8.03c	72985.26	5.2819	-10.0	649	0.372
SPBC119.07	191094.35	6.1201	-10.0	1706	0.404
SPBP4H10.21c	24989.49	4.5471	-10.0	214	0.374
SPCC285.05	38139.13	4.5634	-10.0	348	0.462
SPBC6B1.08c	59177.91	5.3351	-10.0	515	0.467
SPCC306.06c	34636.15	4.6475	-10.0	311	0.473
SPAC17A5.04c	56439.74	5.3043	-10.0	512	0.409
SPAC20H4.02	28262.71	4.5596	-10.0	250	0.383
SPCC1682.02c	97481.08	5.6742	-10.0	879	0.422
SPBC16D10.08c	100507.05	5.5268	-10.0	905	0.520
SPBPJ4664.04	136369.20	6.0712	-10.0	1207	0.481
SPAC140.03	45631.18	4.8326	-10.0	399	0.360
SPAC6G9.08	52316.47	5.0049	-10.0	468	0.393
SPAC694.02	195058.57	6.0526	-10.0	1717	0.503
SPBP16F5.06	54837.91	5.0698	-10.0	478	0.395
SPBC582.08	56627.55	5.0579	-10.0	505	0.460
SPCC1620.09c	61448.62	5.0517	-10.0	539	0.402
SPAC3H8.05c	120605.20	5.7627	-10.0	1073	0.406
SPCC576.13	24557.02	4.6787	-10.0	215	0.383
SPAC806.04c	49894.91	4.9002	-10.0	438	0.432
SPAC1142.07c	25301.68	4.5926	-10.0	222	0.497
SPAC6F6.19	14214.12	4.4278	-10.0	122	0.515
SPAC1142.02c	34001.67	4.6271	-10.0	317	0.524
SPCC584.14	48784.71	4.9900	-10.0	434	0.409
SPBC23E6.01c	51704.63	4.7921	-10.0	473	0.416
SPCC1183.01	88549.91	5.4112	-10.0	768	0.415
SPAC6G10.12c	59842.28	5.5353	-10.0	533	0.405
SPACUNK4.12c	112144.96	5.8229	-10.0	969	0.433
SPBC3D6.12	103428.15	5.7991	-10.0	922	0.451
SPCC364.04c	72182.43	5.2597	-10.0	633	0.402
SPAC3G6.03c	26894.56	4.7393	-10.0	241	0.480
SPAC31G5.02	26431.95	4.4107	-10.0	232	0.500
SPBC16D10.06	45271.95	5.3297	-10.0	408	0.576
SPAPB1A10.04c	34876.45	4.8013	-10.0	294	0.458
SPAC10F6.11c	47061.79	5.2245	-10.0	411	0.406
SPAC458.03	99049.82	5.4462	-10.0	868	0.373
SPCP31B10.03c	16896.03	4.3409	-10.0	139	0.434
SPAC26H5.10c	17152.21	4.5107	-10.0	157	0.766
SPBC83.08	51561.67	5.0461	-10.0	465	0.434
SPBC713.07c	66025.52	5.3872	-10.0	577	0.421
SPBC25D12.03c	85622.43	5.5443	-10.5	760	0.419
SPAC1782.01	190968.35	5.9401	-10.5	1679	0.407
SPBC651.09c	63679.82	5.2677	-10.5	560	0.443
SPAC17G6.14c	49231.13	5.0257	-10.5	434	0.589
SPBC29A10.14	64010.83	5.4034	-10.5	561	0.393
SPAC56F8.08	35869.78	4.5932	-10.5	332	0.432
SPAC30C2.08	52690.98	5.2126	-10.5	457	0.453
SPAC22G7.04	123873.96	5.7938	-10.5	1088	0.394
SPBC3H7.18	8979.52	4.0431	-10.5	77	0.349
SPCC18.06c	37533.45	4.6304	-10.5	335	0.361
SPAC27F1.07	51683.65	4.8635	-10.5	450	0.494
SPCC4E9.02	47808.47	5.2810	-10.5	415	0.438
SPAC2F7.02c	36691.52	5.0262	-10.5	325	0.409
SPCC1682.10	35595.28	4.7078	-10.5	324	0.407
SPAPB2B4.07	26696.94	4.5172	-10.5	239	0.419
SPBC3D6.04c	78490.96	5.3160	-10.5	676	0.410
SPCC569.02c	12763.64	3.7951	-10.5	113	0.430
SPCP20C8.02c	12624.43	3.7299	-10.5	111	0.445
SPBC1198.02	41198.74	5.0599	-10.5	367	0.461
SPAC637.05c	55841.19	4.9799	-10.5	503	0.617
SPAC14C4.01c	27038.88	4.6159	-10.5	244	0.380
SPCC126.01c	42031.05	5.0954	-10.5	369	0.372
SPAC30D11.08c	60696.45	5.1969	-10.5	538	0.385
SPAC1002.03c	106282.17	5.9212	-10.5	923	0.466
SPAC6B12.08	45130.77	4.9637	-10.5	380	0.373
SPCC16C4.01	44641.88	4.8926	-10.5	382	0.318
SPBC32F12.02	32935.83	4.7966	-10.5	302	0.421
SPCC4B3.08	24639.78	4.5969	-10.5	218	0.412
SPAC18B11.11	149192.92	5.8685	-10.5	1294	0.416
SPAC12G12.07c	45724.08	4.8622	-10.5	412	0.430
SPAC18G6.15	35094.12	4.6043	-10.5	308	0.429
SPAC19D5.04	365035.17	4.7534	-108.0	3227	0.433
SPAC22A12.13	22263.54	4.3599	-11.0	195	0.389
SPAC824.05	95189.26	5.3447	-11.0	835	0.416
SPBC14F5.02	57939.42	5.0691	-11.0	515	0.374
SPAC7D4.04	106770.35	5.6611	-11.0	926	0.423
SPBC3B9.06c	31885.73	4.8119	-11.0	275	0.422
SPAP8A3.08	15660.72	4.1635	-11.0	141	0.494
SPCC24B10.03	14595.16	4.1965	-11.0	128	0.446
SPAC1952.11c	91181.66	5.7407	-11.0	835	0.442
SPBC14C8.05c	51163.78	4.9387	-11.0	450	0.493
SPAC23H4.15	90125.72	5.4524	-11.0	783	0.456
SPAC13C5.07	73688.98	5.4544	-11.0	649	0.375
SPAC6F12.13c	39516.34	4.7302	-11.0	347	0.559
SPBC29A10.17	17547.66	4.2706	-11.0	153	0.412
SPAC23H4.16c	37403.63	4.6703	-11.0	328	0.406
SPCC63.06	37253.77	4.8673	-11.0	331	0.428
SPAC637.08	34261.34	4.5979	-11.0	317	0.414
SPCC16C4.14c	116400.69	5.6316	-11.0	1006	0.390
SPBC29A3.06	62473.23	5.1519	-11.0	555	0.437
SPBC19C7.12c	46514.32	5.1031	-11.0	390	0.523
SPBC4F6.13c	82944.64	5.5566	-11.0	740	0.470
SPBC216.06c	112628.39	5.5802	-11.0	971	0.390
SPAC1834.01	48803.21	4.8624	-11.5	433	0.558
SPBC12D12.01	58077.48	5.0216	-11.5	514	0.359
SPCC830.06	19674.96	4.2639	-11.5	174	0.446
SPBC146.14c	104699.69	5.3143	-11.5	940	0.451
SPAC17G6.10	59638.90	5.0708	-11.5	527	0.448
SPCC18B5.11c	52013.98	5.4285	-11.5	460	0.386
SPAC513.05	122437.78	5.8631	-11.5	1077	0.439
SPAC1002.14	50296.59	4.9920	-11.5	435	0.455
SPBC29A10.01	76774.56	5.3483	-11.5	678	0.505
SPAC22A12.03c	43062.78	4.8397	-11.5	377	0.399
SPCC576.14	32043.84	4.6858	-11.5	283	0.477
SPAC8C9.04	67036.17	5.3357	-11.5	647	0.423
SPBC13G1.10c	218565.22	6.1298	-11.5	1935	0.404
SPBC21H7.02	23525.80	4.3746	-11.5	215	0.406
SPBC3B9.01	32744.50	4.6900	-11.5	287	0.447
SPAC3C7.04	87957.67	5.5051	-11.5	783	0.434
SPCC330.01c	109349.01	5.7372	-11.5	963	0.389
SPAC1F8.06	41000.74	4.2411	-11.5	385	0.440
SPCC757.05c	44283.57	4.8693	-11.5	400	0.428
SPAC19G12.16c	68262.65	4.2035	-11.5	670	0.426
SPBC1685.02c	15870.95	4.2703	-11.5	148	0.644
SPAC23C11.09	107376.78	5.6735	-11.5	959	0.533
SPCC553.08c	112129.18	5.4918	-11.5	1000	0.396
SPBC16H5.12c	82520.65	5.5424	-11.5	737	0.437
SPBC31F10.04c	62479.61	5.0341	-11.5	545	0.402
SPBC14F5.13c	58666.47	5.2141	-11.5	532	0.431
SPBC28F2.06c	30517.46	4.6758	-11.5	273	0.380
SPAC29A4.05	16218.15	4.2319	-11.5	143	0.468
SPCP20C8.01c	29671.33	4.5565	-12.0	247	0.359
SPCC1259.08	43005.39	4.8521	-12.0	394	0.436
SPAC23A1.12c	66849.61	5.1431	-12.0	589	0.531
SPAC631.02	81031.71	5.4529	-12.0	727	0.471
SPAC15A10.08	72443.29	5.3132	-12.0	621	0.423
SPBC1105.06	27340.49	4.5163	-12.0	239	0.373
SPBC18E5.05c	35703.65	4.7190	-12.0	314	0.359
SPAC17A2.14	71198.03	5.4952	-12.0	617	0.422
SPBC365.15	90157.64	5.4460	-12.0	784	0.389
SPAC22G7.10	37290.33	4.6721	-12.0	344	0.385
SPBP18G5.03	48791.61	4.8240	-12.0	430	0.370
SPBC16A3.09c	38226.19	4.5941	-12.0	342	0.383
SPCC622.21	21844.76	4.3565	-12.0	197	0.353
SPCC24B10.11c	23282.04	4.4803	-12.0	202	0.392
SPBC29A3.01	97895.09	5.1944	-12.0	904	0.405
SPAC664.15	72372.59	5.2636	-12.0	651	0.430
SPAC12B10.13	27033.68	4.4296	-12.0	240	0.388
SPBC337.02c	35999.65	4.6775	-12.0	305	0.351
SPAP8A3.02c	25991.50	4.4733	-12.0	225	0.387
SPAC323.02c	27573.07	4.6835	-12.0	247	0.463
SPBC2D10.03c	17662.67	4.2179	-12.0	157	0.461
SPBP4H10.16c	33765.66	4.4802	-12.0	295	0.414
SPAC4A8.04	49366.83	5.1934	-12.0	467	0.653
SPAC6F12.14	65854.74	5.0595	-12.0	565	0.416
SPAC4A8.12c	38066.50	4.6265	-12.0	332	0.438
SPAC2G11.08c	17385.07	4.3847	-12.0	152	0.347
SPAC22E12.08	11013.38	3.8964	-12.0	97	0.408
SPBC1652.01	43640.28	4.8164	-12.5	391	0.366
SPAC23C4.16c	47938.13	4.8938	-12.5	424	0.423
SPBC215.03c	48657.29	4.7865	-12.5	422	0.412
SPAC1002.13c	41750.64	4.1896	-12.5	417	0.740
SPAC3A12.13c	30532.45	4.5348	-12.5	274	0.489
SPCC1259.11c	82749.41	5.2035	-12.5	720	0.403
SPAC3C7.02c	43300.51	4.7573	-12.5	383	0.558
SPAC57A7.04c	71512.70	5.0404	-12.5	653	0.720
SPAC15A10.07	18150.62	4.1754	-12.5	162	0.464
SPCC1020.13c	77443.12	5.2132	-12.5	669	0.414
SPAPB17E12.06	30523.16	4.6134	-12.5	264	0.366
SPCC16A11.12c	98655.71	5.6054	-12.5	849	0.380
SPCC1450.02	65193.11	4.9177	-12.5	578	0.456
SPBC1271.10c	65279.06	4.6857	-12.5	581	0.483
SPAC607.08c	63631.36	4.7574	-12.5	579	0.394
SPAC144.16	20226.00	4.3901	-12.5	179	0.411
SPBP8B7.12c	24997.09	4.3516	-12.5	220	0.416
SPAC1A6.02	39779.95	4.7620	-12.5	361	0.393
SPCC162.06c	23591.34	4.2992	-12.5	210	0.435
SPAC1687.04	56600.44	4.8536	-12.5	501	0.430
SPAC926.05c	16096.77	4.2106	-12.5	139	0.375
SPAC1786.02	70570.49	4.7838	-12.5	644	0.685
SPBC1778.07	43334.93	4.7974	-12.5	373	0.400
SPAPB21F2.02	192654.19	5.8486	-12.5	1687	0.388
SPAC8C9.17c	19011.39	4.3417	-12.5	164	0.394
SPCC1494.01	36418.21	4.7429	-12.5	321	0.425
SPCC1442.01	105186.32	5.5379	-12.5	911	0.408
SPCC191.11	64407.30	4.7414	-12.5	581	0.507
SPCC1322.06	112934.87	5.4717	-12.5	983	0.397
SPAPB15E9.01c	99495.87	3.8636	-12.5	1036	0.542
SPBC409.06	34195.50	4.6306	-13.0	300	0.421
SPAC823.15	35290.73	4.6941	-13.0	309	0.436
SPAC1783.07c	61531.90	5.3695	-13.0	552	0.456
SPCC777.05	35591.80	4.4901	-13.0	314	0.467
SPAC29A4.18	48476.09	5.1478	-13.0	431	0.479
SPCC364.05	104581.44	5.5445	-13.0	910	0.439
SPAC19B12.08	36928.68	4.7027	-13.0	320	0.427
SPAC25G10.08	84035.32	5.1407	-13.0	725	0.548
SPCC962.04	15615.68	4.1896	-13.0	145	0.805
SPAC11E3.14	67090.89	5.2644	-13.0	588	0.477
SPBC16C6.10	42954.97	4.8102	-13.0	380	0.409
SPAC144.15c	81560.68	5.0544	-13.0	701	0.389
SPBC12C2.10c	171455.94	5.9768	-13.0	1522	0.413
SPAC17G6.03	71441.60	5.5655	-13.0	635	0.424
